                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3906,                 2.2412,                  1.605,                0.38972,                0.49936,                0.35209,                0.10965,                 1.8244,                 4.9447,                 1.4251,             0.00065766,             0.00065766,             0.00065766
                      2,                  1.383,                 1.9775,                 1.5835,                0.24862,                0.15038,                0.07677,                0.02771,                 1.8984,                 6.4827,                 1.4509,              0.0012981,              0.0012981,              0.0012981
                      3,                 1.4342,                 1.8719,                 1.6145,                0.06479,                0.07519,                0.01892,                0.00645,                 2.9172,                 6.4619,                 2.2415,              0.0019121,              0.0019121,              0.0019121
                      4,                 1.3731,                 1.7302,                 1.5588,                0.13831,                0.05263,                 0.0441,                 0.0165,                 1.7285,                 4.5171,                 1.3931,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.3139,                 1.6311,                 1.5198,                 0.4141,                0.10526,                 0.0817,                0.03203,                 1.4277,                  3.318,                 1.0764,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.2893,                 1.5301,                 1.4976,                0.29669,                0.08271,                0.05041,                0.01302,                 1.6023,                 3.6516,                 1.2009,               0.001802,               0.001802,               0.001802
                      7,                 1.2425,                 1.4767,                 1.4673,                0.47532,                0.09023,                0.08227,                0.03123,                 1.5137,                 3.1497,                 1.1643,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.2177,                 1.4309,                 1.4441,                 0.3847,                0.08271,                0.06384,                0.03186,                 1.4097,                 3.0095,                 1.0465,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.2101,                 1.4361,                 1.4319,                 0.7453,                0.10526,                0.09948,                0.04842,                 1.4162,                 2.7999,                 1.0727,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1741,                 1.4181,                 1.4163,                0.51334,                0.06015,                0.06707,                0.04035,                  1.183,                 2.4592,                0.87627,              0.0016436,              0.0016436,              0.0016436
                     11,                  1.188,                 1.3807,                 1.4208,                0.66416,                0.06767,                0.08245,                0.05059,                 1.3743,                 2.5046,                0.96395,               0.001604,               0.001604,               0.001604
                     12,                  1.144,                 1.2967,                 1.3892,                0.48615,                0.09774,                0.09587,                0.04466,                 1.2224,                 2.3416,                0.88806,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1255,                 1.2911,                 1.3925,                0.86666,                0.07519,                0.10008,                0.06101,                  1.298,                 1.9843,                0.95818,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.1309,                 1.3069,                 1.3771,                0.53374,                0.07519,                0.07443,                0.04059,                 1.1379,                 2.2811,                0.84857,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.0859,                  1.244,                 1.3627,                0.40234,                0.09023,                0.11337,                0.07843,                  1.381,                 2.4419,                0.97415,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.0702,                 1.2398,                 1.3401,                0.54301,                0.09774,                0.11203,                0.07131,                 1.0867,                 2.2221,                0.82501,               0.001406,               0.001406,               0.001406
                     17,                 1.0476,                 1.2079,                 1.3206,                0.62243,                0.06767,                0.07425,                 0.0367,                 1.2214,                 2.1494,                0.86681,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.0679,                  1.195,                 1.3378,                0.96523,                0.09774,                0.11592,                0.08689,                 1.1437,                 1.8686,                0.83192,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.0583,                 1.1914,                 1.3295,                0.93714,                0.09774,                0.11556,                0.06968,                 1.0691,                  1.818,                0.76384,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.0437,                 1.1644,                 1.3098,                0.74904,                 0.1203,                0.14162,                0.09551,                0.99025,                 1.8947,                0.76256,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.0119,                 1.1496,                 1.3055,                0.81473,                0.17293,                 0.1916,                0.11338,                 1.1066,                 1.9639,                0.79453,               0.001208,               0.001208,               0.001208
                     22,                 1.0024,                 1.1154,                 1.2837,                0.58954,                0.09023,                0.11526,                0.06521,                  1.111,                 1.8238,                0.81517,              0.0011684,              0.0011684,              0.0011684
